,aic,bic,controls,endo_states,exo_states,loglik,max_pval,mean_pval,min_pval,mse,nendo,nexo,nstates,total_valid,true_index,true_valid,valid
312,-11987.184029998622,-11757.92905363167,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6081.592014999311,1.0,0.9824661569188884,0.06310378140123803,1.340387295083036,1.0,2.0,3.0,6.0,0.0,1.0,1.0
313,-11979.896859699353,-11750.6418833324,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6077.948429849676,1.0,0.978203768578209,0.23061297323332894,1.2960881150692758,1.0,2.0,3.0,4.0,0.0,1.0,1.0
314,-19839.767842595367,-19610.512866228415,"['y', 'z', 'g', 'r', 'w', 'i']",['k'],"['c', 'l']",10007.883921297684,1.0,0.9671021319076039,0.0003676877484176121,0.08225373111361853,1.0,2.0,3.0,6.0,1.0,1.0,1.0
315,-11967.69650259228,-11738.441526225328,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6071.84825129614,1.0,0.9800591597714569,0.03809175190640633,1.2918316377656625,1.0,2.0,3.0,5.0,0.0,1.0,1.0
316,-11932.5205950968,-11703.265618729847,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6054.2602975484,1.0,0.9743877665261852,0.2523864182458122,1.6323436045388058,1.0,2.0,3.0,5.0,0.0,1.0,1.0
317,-11977.385517663064,-11748.130541296112,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6076.692758831532,1.0,0.9841412007100298,0.4374941338877458,1.5458382572246656,1.0,2.0,3.0,5.0,0.0,1.0,1.0
318,-11931.727304866212,-11702.47232849926,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6053.863652433106,1.0,0.9867814954491992,0.20784370032544405,1.4542280273800414,1.0,2.0,3.0,6.0,0.0,1.0,1.0
319,-11956.929645104605,-11727.674668737653,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6066.464822552302,1.0,0.9731656827413364,0.0266208552730373,1.3535943582517085,1.0,2.0,3.0,6.0,0.0,1.0,1.0
320,-11932.050737706699,-11702.795761339747,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6054.025368853349,1.0,0.9871708977541569,0.36292261245948887,1.5220565142361917,1.0,2.0,3.0,5.0,0.0,1.0,1.0
321,-11953.096709921372,-11723.84173355442,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6064.548354960686,1.0,0.9803263478695353,0.25509543006934,1.4821915522043576,1.0,2.0,3.0,6.0,0.0,1.0,1.0
322,-11925.709594392802,-11696.45461802585,"['y', 'c', 'l', 'r', 'w', 'i']",['k'],"['z', 'g']",6050.854797196401,1.0,0.9715821197553529,0.15475796838421188,1.5379503572243498,1.0,2.0,3.0,5.0,0.0,1.0,1.0
